trick_number,trick_name,stance,part,caption_seconds,family,subfamily,modifiers,sibling_key,youtube_url
32,nollie frontside flip,Nollie,1,160,Kickflips,Kickflip,Frontside,frontside flip,https://www.youtube.com/watch?v=8bxg4YCo2RE
33,switch backside heelflip,Switch,1,163,Heelflips,Heelflip,Backside,backside heelflip,https://www.youtube.com/watch?v=8bxg4YCo2RE
34,switch backside flip,Switch,1,165,Kickflips,Kickflip,Backside,backside flip,https://www.youtube.com/watch?v=8bxg4YCo2RE
35,nollie backside heelflip,Nollie,1,168,Heelflips,Heelflip,Backside,backside heelflip,https://www.youtube.com/watch?v=8bxg4YCo2RE
36,switch frontside heelflip,Switch,1,171,Heelflips,Heelflip,Frontside,frontside heelflip,https://www.youtube.com/watch?v=8bxg4YCo2RE
37,360 flip,Regular,1,173,Kickflips,360 Flip / Tre,360,360 flip,https://www.youtube.com/watch?v=8bxg4YCo2RE
38,switch 360 flip,Switch,1,175,Kickflips,360 Flip / Tre,360,360 flip,https://www.youtube.com/watch?v=8bxg4YCo2RE
39,fakie 360 flip,Fakie,1,178,Kickflips,360 Flip / Tre,360,360 flip,https://www.youtube.com/watch?v=8bxg4YCo2RE
40,nollie 360 flip,Nollie,1,180,Kickflips,360 Flip / Tre,360,360 flip,https://www.youtube.com/watch?v=8bxg4YCo2RE
41,varial flip,Regular,1,182,Kickflips,Varial Flip,,varial flip,https://www.youtube.com/watch?v=8bxg4YCo2RE
42,fakie varial flip,Fakie,1,185,Kickflips,Varial Flip,,varial flip,https://www.youtube.com/watch?v=8bxg4YCo2RE
43,switch varial flip,Switch,1,187,Kickflips,Varial Flip,,varial flip,https://www.youtube.com/watch?v=8bxg4YCo2RE
44,nollie varial flip,Nollie,1,190,Kickflips,Varial Flip,,varial flip,https://www.youtube.com/watch?v=8bxg4YCo2RE
45,backside shuv,Regular,1,192,Shuv-its,Shuv-it,Backside,backside shuv,https://www.youtube.com/watch?v=8bxg4YCo2RE
46,fakie backside shuv,Fakie,1,194,Shuv-its,Shuv-it,Backside,backside shuv,https://www.youtube.com/watch?v=8bxg4YCo2RE
47,nollie frontside shuv,Nollie,1,196,Shuv-its,Shuv-it,Frontside,frontside shuv,https://www.youtube.com/watch?v=8bxg4YCo2RE
48,switch backside shuv,Switch,1,199,Shuv-its,Shuv-it,Backside,backside shuv,https://www.youtube.com/watch?v=8bxg4YCo2RE
49,frontside shuv,Regular,1,201,Shuv-its,Shuv-it,Frontside,frontside shuv,https://www.youtube.com/watch?v=8bxg4YCo2RE
50,fakie frontside shuv,Fakie,1,203,Shuv-its,Shuv-it,Frontside,frontside shuv,https://www.youtube.com/watch?v=8bxg4YCo2RE
51,nollie backside shuv,Nollie,1,205,Shuv-its,Shuv-it,Backside,backside shuv,https://www.youtube.com/watch?v=8bxg4YCo2RE
52,switch frontside shuv,Switch,1,207,Shuv-its,Shuv-it,Frontside,frontside shuv,https://www.youtube.com/watch?v=8bxg4YCo2RE
53,backside bigspin flip,Regular,1,209,Kickflips,Bigflip,Backside,backside bigspin flip,https://www.youtube.com/watch?v=8bxg4YCo2RE
54,fakie backside bigspin flip,Fakie,1,212,Kickflips,Bigflip,Backside,backside bigspin flip,https://www.youtube.com/watch?v=8bxg4YCo2RE
55,nollie frontside bigspin flip,Nollie,1,214,Kickflips,Bigflip,Frontside,frontside bigspin flip,https://www.youtube.com/watch?v=8bxg4YCo2RE
56,switch backside bigspin flip,Switch,1,217,Kickflips,Bigflip,Backside,backside bigspin flip,https://www.youtube.com/watch?v=8bxg4YCo2RE
57,backside bigspin,Regular,1,221,Shuv-its,Bigspin,Backside,backside bigspin,https://www.youtube.com/watch?v=8bxg4YCo2RE
58,fakie backside bigspin,Fakie,1,223,Shuv-its,Bigspin,Backside,backside bigspin,https://www.youtube.com/watch?v=8bxg4YCo2RE
59,nollie frontside bigspin,Nollie,1,225,Shuv-its,Bigspin,Frontside,frontside bigspin,https://www.youtube.com/watch?v=8bxg4YCo2RE
60,switch backside bigspin,Switch,1,227,Shuv-its,Bigspin,Backside,backside bigspin,https://www.youtube.com/watch?v=8bxg4YCo2RE
61,frontside bigspin,Regular,1,230,Shuv-its,Bigspin,Frontside,frontside bigspin,https://www.youtube.com/watch?v=8bxg4YCo2RE
62,fakie frontside bigspin,Fakie,1,232,Shuv-its,Bigspin,Frontside,frontside bigspin,https://www.youtube.com/watch?v=8bxg4YCo2RE
63,nollie backside bigspin,Nollie,1,235,Shuv-its,Bigspin,Backside,backside bigspin,https://www.youtube.com/watch?v=8bxg4YCo2RE
